Porosity,Permeability_1,Permeability_2,Permeability_3,Error
2.074761e-01,6.482572e-13,1.470254e-13,8.407281e-13,4.377589e-04
1.584318e-01,3.430739e-13,3.251346e-13,9.813899e-13,1.719234e-04
1.808619e-01,9.913851e-13,7.315516e-13,7.820153e-13,6.778779e-04
2.017571e-01,4.340544e-13,7.144673e-13,4.215450e-13,2.614205e-04
2.680195e-01,9.840892e-13,7.379393e-13,5.787710e-13,7.967961e-04
1.839066e-01,1.649821e-13,9.171899e-13,9.103897e-13,4.708614e-05
2.075550e-01,7.832695e-13,5.073001e-13,4.571540e-13,5.473295e-04
1.225347e-01,6.757478e-13,4.627998e-13,4.165298e-13,3.995048e-04
2.926736e-01,6.308701e-13,3.446730e-13,6.819635e-13,4.950760e-04
2.678242e-01,9.520874e-13,7.000526e-13,4.190475e-13,7.677488e-04
2.102885e-01,6.403336e-13,7.378424e-13,6.041174e-13,4.362593e-04
1.066711e-01,7.651288e-13,1.394302e-13,5.942453e-13,4.616118e-04
1.605296e-01,3.080697e-13,3.851168e-13,7.119513e-13,1.463900e-04
2.704120e-01,2.634702e-13,9.986053e-14,8.906335e-13,1.490474e-04
2.339849e-01,1.128399e-13,5.870683e-14,1.052813e-13,9.751732e-06
2.037035e-01,9.391407e-13,3.852116e-13,6.578928e-13,6.684683e-04
2.201596e-01,9.455368e-13,8.766894e-13,1.755726e-13,7.147794e-04
2.583335e-01,5.482984e-13,3.058509e-13,4.392808e-13,4.011420e-04
1.298441e-01,3.562534e-13,9.815183e-13,9.829676e-13,1.768535e-04
1.956333e-01,4.709262e-13,5.919253e-13,3.502134e-14,2.899203e-04
2.709486e-01,8.903241e-14,7.624990e-13,5.293281e-13,8.996817e-06
2.599559e-01,3.238342e-13,9.627216e-13,7.071869e-14,2.005735e-04
1.739217e-01,7.161518e-13,6.511335e-14,9.761746e-14,4.517136e-04
2.718231e-01,1.296639e-13,4.092755e-13,5.207439e-13,2.860167e-05
2.504398e-01,7.408468e-14,3.574224e-13,7.237432e-14,2.311532e-05
1.427366e-01,9.288459e-13,5.926272e-13,5.898456e-14,5.699667e-04
1.789863e-01,2.588500e-13,9.562371e-13,5.070149e-13,1.133719e-04
2.811192e-01,1.871928e-13,9.817201e-13,1.977970e-13,8.422310e-05
